Quantity, Name, CardNumber, Expansion Code, Expansion Name, PurchasePrice, Foil, Condition, Language, PurchaseDate, Single Current Price, Total Current Price
1,"Absorb Identity",383,khm,Kaldheim,0.08,false,NearMint,English,20211129,0.08,0.08
1,"Aegar, the Freezing Flame",321,khm,Kaldheim,0.04,false,NearMint,English,20211129,0.04,0.04
2,"Aegar, the Freezing Flame",200,khm,Kaldheim,0.03,false,NearMint,English,20211201,0.03,0.06
2,"Alpine Meadow",248,khm,Kaldheim,0.23,false,NearMint,English,20211129,0.25,0.5
1,"Alrund's Epiphany",41,khm,Kaldheim,10.31,false,NearMint,English,20211129,10.34,10.34
1,"Angel Warrior Token (Vigilance)",2,tkhm,Kaldheim Tokens,0.23,false,NearMint,English,20211130,0.23,0.23
1,"Annul",42,khm,Kaldheim,0.03,false,NearMint,English,20211202,0.03,0.03
1,"Arachnoform",159,khm,Kaldheim,0.04,true,NearMint,English,20211129,0.04,0.04
2,"Arachnoform",159,khm,Kaldheim,0.01,false,NearMint,English,20211203,0.01,0.02
2,"Arctic Treeline",249,khm,Kaldheim,0.28,false,NearMint,English,20211129,0.35,0.7
1,"Armed and Armored",379,khm,Kaldheim,0.06,false,NearMint,English,20211129,0.08,0.08
1,"Armed and Armored",379,khm,Kaldheim,0.07,false,NearMint,English,20211130,0.08,0.08
1,"Arni Brokenbrow",310,khm,Kaldheim,0.09,false,NearMint,English,20211129,0.09,0.09
2,"Arni Slays the Troll",201,khm,Kaldheim,0.06,false,NearMint,English,20211202,0.06,0.12
2,"Avalanche Caller",45,khm,Kaldheim,0.02,false,NearMint,English,20211129,0.03,0.06
2,"Axgard Braggart",1,khm,Kaldheim,0.01,false,NearMint,English,20211130,0.01,0.02
2,"Axgard Cavalry",121,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.02
1,"Barkchannel Pathway",251,khm,Kaldheim,4.28,false,NearMint,English,20211129,4.25,4.25
1,"Basalt Ravager",122,khm,Kaldheim,0.1,true,NearMint,English,20211129,0.1,0.1
2,"Basalt Ravager",122,khm,Kaldheim,0.04,false,NearMint,English,20211130,0.04,0.08
1,"Battershield Warrior",2,khm,Kaldheim,0.01,false,NearMint,English,20211130,0.01,0.01
1,"Battle for Bretagard",203,khm,Kaldheim,0.1,false,NearMint,English,20211129,0.15,0.15
2,"Battlefield Raptor",3,khm,Kaldheim,0.1,false,NearMint,English,20211130,0.1,0.2
1,"Battlefield Raptor",3,khm,Kaldheim,0.14,true,NearMint,English,20211130,0.14,0.14
2,"Bearded Axe",388,khm,Kaldheim,0.12,false,NearMint,English,20211129,0.12,0.24
2,"Berg Strider",47,khm,Kaldheim,0.01,false,NearMint,English,20211203,0.01,0.02
2,"Beskir Shieldmate",4,khm,Kaldheim,0.01,false,NearMint,English,20211130,0.01,0.02
1,"Beskir Shieldmate",4,khm,Kaldheim,0.03,true,NearMint,English,20211201,0.03,0.03
1,"Bind the Monster",48,khm,Kaldheim,0.1,true,NearMint,English,20211202,0.1,0.1
1,"Binding the Old Gods",206,khm,Kaldheim,0.38,false,NearMint,English,20211129,0.38,0.38
2,"Blessing of Frost",362,khm,Kaldheim,0.15,false,NearMint,English,20211130,0.14,0.28
3,"Blizzard Brawl",162,khm,Kaldheim,0.24,false,NearMint,English,20211202,0.24,0.72
1,"Blood on the Snow",79,khm,Kaldheim,0.53,false,NearMint,English,20211129,0.53,0.53
1,"Bloodline Pretender",235,khm,Kaldheim,0.27,false,NearMint,English,20211129,0.27,0.27
2,"Boreal Outrider",163,khm,Kaldheim,0.01,false,NearMint,English,20211203,0.01,0.02
2,"Bound in Gold",5,khm,Kaldheim,0.01,false,NearMint,English,20211130,0.01,0.02
1,"Bound in Gold",5,khm,Kaldheim,0.07,true,NearMint,English,20211202,0.07,0.07
1,"Breakneck Berserker",124,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.01
2,"Bretagard Stronghold",253,khm,Kaldheim,0.05,false,NearMint,English,20211129,0.05,0.1
1,"Brinebarrow Intruder",49,khm,Kaldheim,0.01,false,NearMint,English,20211202,0.01,0.01
2,"Broken Wings",164,khm,Kaldheim,0.01,false,NearMint,English,20211203,0.01,0.02
1,"Calamity Bearer",356,khm,Kaldheim,0.4,false,NearMint,English,20211129,0.39,0.39
1,"Calamity Bearer",125,pkhm,Kaldheim Promos,0.0,false,NearMint,English,20211130,0.0,0.0
1,"Canopy Tactician",378,khm,Kaldheim,0.51,false,NearMint,English,20211129,0.46,0.46
1,"Cinderheart Giant",126,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.01
3,"Codespell Cleric",7,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.03
1,"Codespell Cleric",7,khm,Kaldheim,0.08,true,NearMint,English,20211129,0.08,0.08
2,"Colossal Plow",236,khm,Kaldheim,0.04,false,NearMint,English,20211202,0.04,0.08
1,"Cosima, God of the Voyage",50,khm,Kaldheim,0.38,true,NearMint,English,20211129,0.36,0.36
1,"Cosima, God of the Voyage",303,khm,Kaldheim,0.27,false,NearMint,English,20211201,0.26,0.26
1,"Cosmos Charger",342,khm,Kaldheim,0.23,false,NearMint,English,20211129,0.23,0.23
1,"Craven Hulk",127,khm,Kaldheim,0.01,false,NearMint,English,20211201,0.01,0.01
2,"Crush the Weak",128,khm,Kaldheim,0.08,false,NearMint,English,20211129,0.08,0.16
1,"Cyclone Summoner",343,khm,Kaldheim,0.24,false,NearMint,English,20211129,0.23,0.23
1,"Deathknell Berserker",83,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.01
1,"Deathknell Berserker",83,khm,Kaldheim,0.03,true,NearMint,English,20211129,0.03,0.03
1,"Demon Bolt",129,khm,Kaldheim,0.05,false,NearMint,English,20211201,0.05,0.05
1,"Demonic Gifts",84,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.02,0.02
1,"Demonic Gifts",84,khm,Kaldheim,0.1,true,NearMint,English,20211129,0.1,0.1
1,"Demonic Gifts",84,khm,Kaldheim,0.02,false,NearMint,English,20211201,0.02,0.02
1,"Dogged Pursuit",85,khm,Kaldheim,0.02,false,NearMint,English,20211129,0.02,0.02
1,"Doomskar",334,khm,Kaldheim,2.88,false,NearMint,English,20211129,2.95,2.95
1,"Doomskar",334,khm,Kaldheim,2.94,false,NearMint,English,20211202,2.95,2.95
1,"Doomskar Oracle",10,khm,Kaldheim,0.04,true,NearMint,English,20211129,0.04,0.04
3,"Doomskar Oracle",10,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.03
1,"Dragonkin Berserker",131,pkhm,Kaldheim Promos,0.62,false,NearMint,English,20211129,0.62,0.62
1,"Draugr Recruiter",87,khm,Kaldheim,0.02,false,NearMint,English,20211129,0.01,0.01
1,"Draugr Thought-Thief",55,khm,Kaldheim,0.05,true,NearMint,English,20211129,0.05,0.05
1,"Draugr Thought-Thief",55,khm,Kaldheim,0.04,false,NearMint,English,20211202,0.04,0.04
1,"Dread Rider",89,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.01
2,"Dual Strike",132,khm,Kaldheim,0.12,false,NearMint,English,20211129,0.12,0.24
2,"Duskwielder",91,khm,Kaldheim,0.01,false,NearMint,English,20211201,0.01,0.02
4,"Dwarf Berserker Token",12,tkhm,Kaldheim Tokens,0.01,false,NearMint,English,20211202,0.01,0.04
1,"Dwarven Hammer",133,khm,Kaldheim,0.02,false,NearMint,English,20211129,0.02,0.02
2,"Dwarven Reinforcements",134,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.02
1,"Elderfang Disciple",93,khm,Kaldheim,0.12,false,NearMint,English,20211129,0.1,0.1
1,"Elderfang Disciple",93,khm,Kaldheim,0.13,true,NearMint,English,20211129,0.14,0.14
1,"Elderfang Ritualist",385,khm,Kaldheim,0.06,false,NearMint,English,20211129,0.05,0.05
2,"Elderleaf Mentor",165,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.02
2,"Elf Warrior Token",15,tkhm,Kaldheim Tokens,0.12,false,NearMint,English,20211129,0.12,0.24
1,"Elven Ambush",391,khm,Kaldheim,0.29,false,NearMint,English,20211203,0.29,0.29
2,"Elven Bow",166,khm,Kaldheim,0.01,false,NearMint,English,20211129,0.01,0.02
1,"Erratic Portal",253,plist,The List,2.56,false,NearMint,English,20211201,2.64,2.64
1,"Faceless Haven",255,khm,Kaldheim,4.0,false,NearMint,English,20211129,3.75,3.75
2,"Fall of the Impostor",208,khm,Kaldheim,0.05,false,NearMint,English,20211129,0.05,0.1
1,"Fearless Liberator",135,khm,Kaldheim,0.02,false,NearMint,English,20211129,0.02,0.02
